Count, Time (ms), RSSI (dBm), Frequency (KHz), Timestamp (ms), EPC, Phase (Degrees)
1,542232,-62,927200,797,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
2,542359,-60,921400,925,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
3,542511,-62,926000,75,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,165
4,543161,-58,919400,730,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
5,543258,-58,926600,829,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
6,543304,-56,926800,874,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
7,543338,-56,920800,908,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
8,543386,-57,924400,957,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
9,543427,-57,923800,996,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
10,543496,-56,924600,66,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,163
11,543526,-56,922000,97,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
12,543560,-56,917800,131,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
13,543594,-54,922800,166,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
14,543627,-56,919000,198,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
15,543661,-56,917400,233,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
16,543707,-56,926400,278,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
17,543740,-56,924000,313,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
18,543773,-56,919800,346,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
19,543808,-56,926200,381,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
20,543852,-56,925000,425,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
21,543886,-54,918600,459,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
22,543920,-54,918800,493,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
23,543952,-53,923000,526,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
24,543988,-53,918200,562,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
25,544031,-53,927000,606,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
