Count, Time (ms), RSSI (dBm), Frequency (KHz), Timestamp (ms), EPC, Phase (Degrees)
140,192605,-59,921600,988,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
141,192673,-58,918400,57,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
142,192713,-58,919200,97,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
143,192770,-59,923600,154,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
144,192819,-59,921800,204,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
145,192947,-60,920200,332,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
146,192979,-58,919400,365,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,165
147,193024,-58,921200,409,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
148,193055,-59,926600,442,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
149,193101,-59,926800,489,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
150,193139,-59,920800,527,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
151,193175,-58,924400,562,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
152,193235,-59,923800,623,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
153,193269,-58,921000,657,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
154,193301,-59,924600,690,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
155,193336,-58,922000,724,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
156,193371,-58,917800,760,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
157,193458,-58,919000,847,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
158,193508,-58,917400,898,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
159,193553,-59,926400,943,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
160,193588,-59,924000,978,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
161,193630,-59,926200,20,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
162,193684,-58,925000,74,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
163,193773,-58,918600,164,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
164,193793,-58,918800,183,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
165,193839,-59,923000,230,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
166,193873,-56,918200,265,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
167,193920,-59,927000,311,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
168,193952,-59,925400,345,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
169,193988,-58,922200,380,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
170,194038,-59,922400,431,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
171,194072,-58,917600,465,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
172,194146,-59,920400,539,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
173,194183,-59,925800,576,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
174,194230,-57,920600,624,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
175,194262,-58,924200,656,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
176,194304,-58,918000,699,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
177,194355,-58,927200,750,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
178,194403,-59,920000,798,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,0
179,194438,-57,921400,834,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
180,194484,-59,923400,880,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
181,194519,-58,925600,914,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
182,194569,-59,926000,966,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
183,194614,-58,924800,9,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
184,194658,-59,922600,54,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
185,194692,-57,921600,88,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
186,194727,-58,925200,124,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
187,194765,-58,918400,162,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
188,194856,-58,919200,254,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
189,194873,-59,923600,270,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
190,194923,-58,921800,322,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
191,194957,-59,923200,356,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
192,194997,-58,920200,396,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
193,195036,-58,919400,435,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
194,195072,-58,921200,471,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
195,195106,-58,926600,505,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
196,195149,-58,926800,549,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
197,195183,-58,920800,583,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
198,195218,-58,924400,618,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
199,195263,-59,923800,663,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
200,195306,-58,921000,707,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
201,195338,-59,924600,739,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
202,195381,-59,922000,783,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
203,195416,-57,917800,818,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
204,195488,-59,922800,891,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
205,195518,-58,919000,921,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
206,195559,-58,917400,962,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
207,195611,-59,924000,11,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
208,195658,-59,919800,59,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
209,195693,-58,926200,93,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
210,195737,-58,925000,138,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
211,195770,-57,918600,171,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
212,195804,-57,918800,205,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
213,195837,-58,923000,239,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
214,195872,-57,918200,274,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
215,195917,-59,927000,320,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
216,195968,-59,925400,370,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
217,196009,-58,922200,412,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
218,196051,-59,922400,454,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
219,196086,-58,917600,489,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
220,196135,-58,920400,539,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
221,196168,-59,925800,572,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
222,196219,-58,920600,624,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
223,196275,-59,924200,680,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
224,196306,-56,918000,712,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
225,196364,-59,927200,769,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
226,196397,-59,920000,802,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
227,196430,-57,921400,836,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
228,196466,-58,923400,872,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,0
229,196500,-59,925600,906,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
230,196535,-59,926000,942,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
231,196568,-58,919600,975,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
232,196627,-58,922600,28,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
233,196669,-58,921600,70,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
234,196704,-58,925200,105,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
235,196739,-57,918400,140,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
236,196770,-58,919200,172,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
237,196806,-58,923600,209,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
238,196856,-58,921800,259,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
239,196897,-59,923200,300,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
